datetime,len_sum,smallest,largest,count_sum,0xffff,0xbfb8,0x0000,0xbfb8,0x0e91,0x0000,0x0e91,0xab52,0xab52,0x0cd0,0x0cd0,0x469a,0x469a,0x6493,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 08:03:49,1439,85,213,13,7,8,5,2,0,4,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:04:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:04:49,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:05:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:05:49,553,85,173,5,2,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:06:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:06:49,2456,19,173,26,4,14,5,10,0,6,0,7,6,0,0,0,0,0,0,0,0
2021-02-03 08:07:19,2671,19,213,27,4,9,7,9,0,10,0,0,0,6,2,5,2,0,0,0,0
2021-02-03 08:07:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:08:19,1253,19,215,13,4,3,5,1,0,6,0,0,0,0,0,0,0,5,2,0,0
2021-02-03 08:08:49,1360,19,215,14,8,6,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:09:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:09:49,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:10:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:10:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:11:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:11:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:12:19,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:12:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:13:19,1131,85,173,11,8,7,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:13:49,688,85,213,6,3,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:14:19,838,85,173,8,5,5,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:14:49,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:15:19,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:15:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:16:19,648,85,173,6,3,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:16:49,1804,19,213,16,4,7,3,7,0,4,0,3,1,3,0,0,0,0,0,0,0
2021-02-03 08:17:19,1910,19,167,22,4,8,6,5,0,9,0,0,0,3,2,5,2,0,0,0,0
2021-02-03 08:17:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:18:19,1130,19,173,12,7,4,4,0,0,4,0,0,0,0,0,0,0,4,1,0,0
2021-02-03 08:18:49,2023,19,173,19,4,10,6,7,3,7,1,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:19:19,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:19:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:20:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:20:49,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:21:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:21:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:22:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:22:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:23:19,931,85,173,9,7,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:23:49,1051,85,213,9,3,5,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:24:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:24:49,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:25:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:25:49,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:26:19,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:26:49,2210,19,213,22,4,9,4,11,0,5,0,6,2,3,0,0,0,0,0,0,0
2021-02-03 08:27:19,1959,19,213,21,3,6,7,6,0,8,0,0,0,3,2,5,2,0,0,0,0
2021-02-03 08:27:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:28:19,3271,19,173,35,8,13,10,11,7,11,2,0,0,0,0,0,0,5,3,0,0
2021-02-03 08:28:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:29:19,543,85,173,5,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:29:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:30:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:30:49,448,85,173,4,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:31:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
