Accuracy,pad,file
0.289044289,15, 60_second_0.001_alpha_3_fold_10_n_5_k_final_score.csv
0.298368298,16, 60_second_0.001_alpha_3_fold_10_n_6_k_final_score.csv
0.284382284,17, 60_second_0.001_alpha_3_fold_10_n_7_k_final_score.csv
0.284382284,18, 60_second_0.001_alpha_3_fold_10_n_8_k_final_score.csv
0.268065268,19, 60_second_0.001_alpha_3_fold_10_n_9_k_final_score.csv
0.353773585,25, 60_second_0.001_alpha_3_fold_15_n_10_k_final_score.csv
0.393867925,16, 60_second_0.001_alpha_3_fold_15_n_1_k_final_score.csv
0.337264151,17, 60_second_0.001_alpha_3_fold_15_n_2_k_final_score.csv
0.33490566,18, 60_second_0.001_alpha_3_fold_15_n_3_k_final_score.csv
0.304245283,19, 60_second_0.001_alpha_3_fold_15_n_4_k_final_score.csv
0.301886792,20, 60_second_0.001_alpha_3_fold_15_n_5_k_final_score.csv
0.297169811,21, 60_second_0.001_alpha_3_fold_15_n_6_k_final_score.csv
0.33254717,22, 60_second_0.001_alpha_3_fold_15_n_7_k_final_score.csv
0.320754717,23, 60_second_0.001_alpha_3_fold_15_n_8_k_final_score.csv
0.316037736,24, 60_second_0.001_alpha_3_fold_15_n_9_k_final_score.csv
0.40821256,35, 60_second_0.001_alpha_3_fold_25_n_10_k_final_score.csv
0.355072464,26, 60_second_0.001_alpha_3_fold_25_n_1_k_final_score.csv
0.381642512,27, 60_second_0.001_alpha_3_fold_25_n_2_k_final_score.csv
0.369565217,28, 60_second_0.001_alpha_3_fold_25_n_3_k_final_score.csv
0.326086957,29, 60_second_0.001_alpha_3_fold_25_n_4_k_final_score.csv
0.3647343,30, 60_second_0.001_alpha_3_fold_25_n_5_k_final_score.csv
0.369565217,31, 60_second_0.001_alpha_3_fold_25_n_6_k_final_score.csv
0.352657005,32, 60_second_0.001_alpha_3_fold_25_n_7_k_final_score.csv
0.345410628,33, 60_second_0.001_alpha_3_fold_25_n_8_k_final_score.csv
0.38647343,34, 60_second_0.001_alpha_3_fold_25_n_9_k_final_score.csv
0.467866324,60, 60_second_0.001_alpha_3_fold_50_n_10_k_final_score.csv
0.254498715,51, 60_second_0.001_alpha_3_fold_50_n_1_k_final_score.csv
0.321336761,52, 60_second_0.001_alpha_3_fold_50_n_2_k_final_score.csv
0.439588689,53, 60_second_0.001_alpha_3_fold_50_n_3_k_final_score.csv
0.375321337,54, 60_second_0.001_alpha_3_fold_50_n_4_k_final_score.csv
0.411311054,55, 60_second_0.001_alpha_3_fold_50_n_5_k_final_score.csv
0.385604113,56, 60_second_0.001_alpha_3_fold_50_n_6_k_final_score.csv
0.377892031,57, 60_second_0.001_alpha_3_fold_50_n_7_k_final_score.csv
0.385604113,58, 60_second_0.001_alpha_3_fold_50_n_8_k_final_score.csv
0.488431877,59, 60_second_0.001_alpha_3_fold_50_n_9_k_final_score.csv
0.725663717,110, 60_second_0.001_alpha_4_fold_100_n_10_k_final_score.csv
0.206489676,101, 60_second_0.001_alpha_4_fold_100_n_1_k_final_score.csv
0.489675516,102, 60_second_0.001_alpha_4_fold_100_n_2_k_final_score.csv
0.516224189,103, 60_second_0.001_alpha_4_fold_100_n_3_k_final_score.csv
0.492625369,104, 60_second_0.001_alpha_4_fold_100_n_4_k_final_score.csv
0.575221239,105, 60_second_0.001_alpha_4_fold_100_n_5_k_final_score.csv
0.631268437,106, 60_second_0.001_alpha_4_fold_100_n_6_k_final_score.csv
0.631268437,107, 60_second_0.001_alpha_4_fold_100_n_7_k_final_score.csv
0.610619469,108, 60_second_0.001_alpha_4_fold_100_n_8_k_final_score.csv
0.634218289,109, 60_second_0.001_alpha_4_fold_100_n_9_k_final_score.csv
0.368298368,11, 60_second_0.001_alpha_4_fold_10_n_1_k_final_score.csv
0.284382284,12, 60_second_0.001_alpha_4_fold_10_n_2_k_final_score.csv
0.284382284,13, 60_second_0.001_alpha_4_fold_10_n_3_k_final_score.csv
0.298368298,14, 60_second_0.001_alpha_4_fold_10_n_4_k_final_score.csv
0.284382284,15, 60_second_0.001_alpha_4_fold_10_n_5_k_final_score.csv
0.317016317,16, 60_second_0.001_alpha_4_fold_10_n_6_k_final_score.csv
0.298368298,17, 60_second_0.001_alpha_4_fold_10_n_7_k_final_score.csv
0.282051282,18, 60_second_0.001_alpha_4_fold_10_n_8_k_final_score.csv
0.275058275,19, 60_second_0.001_alpha_4_fold_10_n_9_k_final_score.csv
0.346698113,25, 60_second_0.001_alpha_4_fold_15_n_10_k_final_score.csv
0.339622642,16, 60_second_0.001_alpha_4_fold_15_n_1_k_final_score.csv
0.346698113,17, 60_second_0.001_alpha_4_fold_15_n_2_k_final_score.csv
0.325471698,18, 60_second_0.001_alpha_4_fold_15_n_3_k_final_score.csv
0.29245283,19, 60_second_0.001_alpha_4_fold_15_n_4_k_final_score.csv
0.313679245,20, 60_second_0.001_alpha_4_fold_15_n_5_k_final_score.csv
0.306603774,21, 60_second_0.001_alpha_4_fold_15_n_6_k_final_score.csv
0.304245283,22, 60_second_0.001_alpha_4_fold_15_n_7_k_final_score.csv
0.320754717,23, 60_second_0.001_alpha_4_fold_15_n_8_k_final_score.csv
0.33254717,24, 60_second_0.001_alpha_4_fold_15_n_9_k_final_score.csv
0.422705314,35, 60_second_0.001_alpha_4_fold_25_n_10_k_final_score.csv
0.381642512,26, 60_second_0.001_alpha_4_fold_25_n_1_k_final_score.csv
